season,opponent_abbrev,position,pts_allowed_per_game,rank
2022,ATL,Point Guard,15.11,26
2022,BOS,Point Guard,14.11,1
2022,BKN,Point Guard,14.92,20
2022,CHA,Point Guard,15.03,22
2022,CHI,Point Guard,15.04,23
2022,CLE,Point Guard,14.47,5
2022,DAL,Point Guard,14.5,7
2022,DEN,Point Guard,14.82,15
2022,DET,Point Guard,15.06,24
2022,GSW,Point Guard,14.17,2
2022,HOU,Point Guard,15.47,30
2022,IND,Point Guard,15.35,28
2022,LAC,Point Guard,14.55,8
2022,LAL,Point Guard,14.99,21
2022,MEM,Point Guard,14.47,5
2022,MIA,Point Guard,14.41,4
2022,MIL,Point Guard,14.77,14
2022,MIN,Point Guard,14.75,13
2022,NOP,Point Guard,14.89,18
2022,NYK,Point Guard,14.65,11
2022,OKC,Point Guard,14.85,16
2022,ORL,Point Guard,14.9,19
2022,PHI,Point Guard,14.65,11
2022,PHX,Point Guard,14.19,3
2022,POR,Point Guard,15.46,29
2022,SAC,Point Guard,15.26,27
2022,SAS,Point Guard,14.85,16
2022,TOR,Point Guard,14.61,9
2022,UTA,Point Guard,14.62,10
2022,WAS,Point Guard,15.1,25
2022,ATL,Shooting Guard,13.48,26
2022,BOS,Shooting Guard,12.59,1
2022,BKN,Shooting Guard,13.31,20
2022,CHA,Shooting Guard,13.41,22
2022,CHI,Shooting Guard,13.42,23
2022,CLE,Shooting Guard,12.91,5
2022,DAL,Shooting Guard,12.93,7
2022,DEN,Shooting Guard,13.22,15
2022,DET,Shooting Guard,13.43,24
2022,GSW,Shooting Guard,12.64,2
2022,HOU,Shooting Guard,13.8,30
2022,IND,Shooting Guard,13.69,28
2022,LAC,Shooting Guard,12.98,8
2022,LAL,Shooting Guard,13.37,21
2022,MEM,Shooting Guard,12.91,5
2022,MIA,Shooting Guard,12.85,4
2022,MIL,Shooting Guard,13.17,14
2022,MIN,Shooting Guard,13.16,13
2022,NOP,Shooting Guard,13.28,18
2022,NYK,Shooting Guard,13.06,11
2022,OKC,Shooting Guard,13.24,16
2022,ORL,Shooting Guard,13.29,19
2022,PHI,Shooting Guard,13.06,11
2022,PHX,Shooting Guard,12.66,3
2022,POR,Shooting Guard,13.79,29
2022,SAC,Shooting Guard,13.61,27
2022,SAS,Shooting Guard,13.24,16
2022,TOR,Shooting Guard,13.03,9
2022,UTA,Shooting Guard,13.04,10
2022,WAS,Shooting Guard,13.47,25
2022,ATL,Small Forward,12.35,26
2022,BOS,Small Forward,11.54,1
2022,BKN,Small Forward,12.2,20
2022,CHA,Small Forward,12.29,22
2022,CHI,Small Forward,12.3,23
2022,CLE,Small Forward,11.83,5
2022,DAL,Small Forward,11.85,7
2022,DEN,Small Forward,12.12,15
2022,DET,Small Forward,12.31,24
2022,GSW,Small Forward,11.58,2
2022,HOU,Small Forward,12.65,30
2022,IND,Small Forward,12.55,28
2022,LAC,Small Forward,11.9,8
2022,LAL,Small Forward,12.26,21
2022,MEM,Small Forward,11.83,5
2022,MIA,Small Forward,11.78,4
2022,MIL,Small Forward,12.07,14
2022,MIN,Small Forward,12.06,13
2022,NOP,Small Forward,12.17,18
2022,NYK,Small Forward,11.97,11
2022,OKC,Small Forward,12.14,16
2022,ORL,Small Forward,12.18,19
2022,PHI,Small Forward,11.97,11
2022,PHX,Small Forward,11.6,3
2022,POR,Small Forward,12.64,29
2022,SAC,Small Forward,12.47,27
2022,SAS,Small Forward,12.14,16
2022,TOR,Small Forward,11.94,9
2022,UTA,Small Forward,11.95,10
2022,WAS,Small Forward,12.34,25
2022,ATL,Power Forward,11.13,26
2022,BOS,Power Forward,10.39,1
2022,BKN,Power Forward,10.99,20
2022,CHA,Power Forward,11.07,22
2022,CHI,Power Forward,11.08,23
2022,CLE,Power Forward,10.66,5
2022,DAL,Power Forward,10.68,7
2022,DEN,Power Forward,10.91,15
2022,DET,Power Forward,11.09,24
2022,GSW,Power Forward,10.43,2
2022,HOU,Power Forward,11.39,30
2022,IND,Power Forward,11.31,28
2022,LAC,Power Forward,10.72,8
2022,LAL,Power Forward,11.04,21
2022,MEM,Power Forward,10.66,5
2022,MIA,Power Forward,10.61,4
2022,MIL,Power Forward,10.87,14
2022,MIN,Power Forward,10.86,13
2022,NOP,Power Forward,10.96,18
2022,NYK,Power Forward,10.79,11
2022,OKC,Power Forward,10.93,16
2022,ORL,Power Forward,10.97,19
2022,PHI,Power Forward,10.79,11
2022,PHX,Power Forward,10.45,3
2022,POR,Power Forward,11.38,29
2022,SAC,Power Forward,11.24,27
2022,SAS,Power Forward,10.93,16
2022,TOR,Power Forward,10.76,9
2022,UTA,Power Forward,10.77,10
2022,WAS,Power Forward,11.12,25
2022,ATL,Center,9.6,26
2022,BOS,Center,8.96,1
2022,BKN,Center,9.48,20
2022,CHA,Center,9.55,22
2022,CHI,Center,9.56,23
2022,CLE,Center,9.19,5
2022,DAL,Center,9.21,7
2022,DEN,Center,9.41,15
2022,DET,Center,9.56,23
2022,GSW,Center,9.0,2
2022,HOU,Center,9.83,30
2022,IND,Center,9.75,28
2022,LAC,Center,9.24,8
2022,LAL,Center,9.52,21
2022,MEM,Center,9.19,5
2022,MIA,Center,9.15,4
2022,MIL,Center,9.38,14
2022,MIN,Center,9.37,13
2022,NOP,Center,9.45,18
2022,NYK,Center,9.3,11
2022,OKC,Center,9.43,16
2022,ORL,Center,9.46,19
2022,PHI,Center,9.3,11
2022,PHX,Center,9.02,3
2022,POR,Center,9.82,29
2022,SAC,Center,9.69,27
2022,SAS,Center,9.43,16
2022,TOR,Center,9.28,9
2022,UTA,Center,9.29,10
2022,WAS,Center,9.59,25
2023,ATL,Point Guard,14.97,22
2023,BOS,Point Guard,14.35,2
2023,BKN,Point Guard,14.73,15
2023,CHA,Point Guard,14.88,20
2023,CHI,Point Guard,14.47,5
2023,CLE,Point Guard,14.26,1
2023,DAL,Point Guard,15.06,25
2023,DEN,Point Guard,14.73,15
2023,DET,Point Guard,15.28,27
2023,GSW,Point Guard,14.71,14
2023,HOU,Point Guard,15.39,29
2023,IND,Point Guard,15.19,26
2023,LAC,Point Guard,14.74,17
2023,LAL,Point Guard,14.69,12
2023,MEM,Point Guard,14.36,3
2023,MIA,Point Guard,14.64,9
2023,MIL,Point Guard,14.39,4
2023,MIN,Point Guard,14.67,10
2023,NOP,Point Guard,14.53,6
2023,NYK,Point Guard,14.82,19
2023,OKC,Point Guard,14.69,12
2023,ORL,Point Guard,14.75,18
2023,PHI,Point Guard,14.62,8
2023,PHX,Point Guard,14.57,7
2023,POR,Point Guard,15.31,28
2023,SAC,Point Guard,15.05,23
2023,SAS,Point Guard,15.52,30
2023,TOR,Point Guard,14.67,10
2023,UTA,Point Guard,15.05,23
2023,WAS,Point Guard,14.91,21
2023,ATL,Shooting Guard,13.35,22
2023,BOS,Shooting Guard,12.8,2
2023,BKN,Shooting Guard,13.13,15
2023,CHA,Shooting Guard,13.27,20
2023,CHI,Shooting Guard,12.9,5
2023,CLE,Shooting Guard,12.72,1
2023,DAL,Shooting Guard,13.43,25
2023,DEN,Shooting Guard,13.13,15
2023,DET,Shooting Guard,13.63,27
2023,GSW,Shooting Guard,13.12,14
2023,HOU,Shooting Guard,13.72,29
2023,IND,Shooting Guard,13.55,26
2023,LAC,Shooting Guard,13.15,17
2023,LAL,Shooting Guard,13.1,12
2023,MEM,Shooting Guard,12.81,3
2023,MIA,Shooting Guard,13.05,9
2023,MIL,Shooting Guard,12.83,4
2023,MIN,Shooting Guard,13.09,10
2023,NOP,Shooting Guard,12.96,6
2023,NYK,Shooting Guard,13.22,19
2023,OKC,Shooting Guard,13.1,12
2023,ORL,Shooting Guard,13.16,18
2023,PHI,Shooting Guard,13.04,8
2023,PHX,Shooting Guard,13.0,7
2023,POR,Shooting Guard,13.65,28
2023,SAC,Shooting Guard,13.42,23
2023,SAS,Shooting Guard,13.84,30
2023,TOR,Shooting Guard,13.09,10
2023,UTA,Shooting Guard,13.42,23
2023,WAS,Shooting Guard,13.3,21
2023,ATL,Small Forward,12.24,22
2023,BOS,Small Forward,11.73,2
2023,BKN,Small Forward,12.04,15
2023,CHA,Small Forward,12.17,20
2023,CHI,Small Forward,11.83,5
2023,CLE,Small Forward,11.66,1
2023,DAL,Small Forward,12.32,25
2023,DEN,Small Forward,12.04,15
2023,DET,Small Forward,12.5,27
2023,GSW,Small Forward,12.03,14
2023,HOU,Small Forward,12.58,29
2023,IND,Small Forward,12.42,26
2023,LAC,Small Forward,12.05,17
2023,LAL,Small Forward,12.01,12
2023,MEM,Small Forward,11.74,3
2023,MIA,Small Forward,11.97,9
2023,MIL,Small Forward,11.76,4
2023,MIN,Small Forward,12.0,10
2023,NOP,Small Forward,11.88,6
2023,NYK,Small Forward,12.11,19
2023,OKC,Small Forward,12.01,12
2023,ORL,Small Forward,12.06,18
2023,PHI,Small Forward,11.95,8
2023,PHX,Small Forward,11.91,7
2023,POR,Small Forward,12.52,28
2023,SAC,Small Forward,12.3,23
2023,SAS,Small Forward,12.69,30
2023,TOR,Small Forward,12.0,10
2023,UTA,Small Forward,12.3,23
2023,WAS,Small Forward,12.19,21
2023,ATL,Power Forward,11.03,22
2023,BOS,Power Forward,10.57,2
2023,BKN,Power Forward,10.85,15
2023,CHA,Power Forward,10.96,20
2023,CHI,Power Forward,10.65,5
2023,CLE,Power Forward,10.5,1
